name,geometry_wkt
MDS_color_2222-444.laz,"POLYGON ((319038.38 7367704.91, 319580.35 7367704.91, 319580.35 7368292.33, 319038.38 7368292.33, 319038.38 7367704.91))"
MDS_color_2222-451.laz,"POLYGON ((319561.98 7368288.34, 320103.95 7368288.34, 320103.95 7368875.75, 319561.98 7368875.75, 319561.98 7368288.34))"
MDS_color_2222-452.laz,"POLYGON ((320092.79 7368294.95, 320634.73 7368294.95, 320634.73 7368882.34, 320092.79 7368882.34, 320092.79 7368294.95))"
MDS_color_2222-453.laz,"POLYGON ((319569.17 7367711.54, 320111.12 7367711.54, 320111.12 7368298.94, 319569.17 7368298.94, 319569.17 7367711.54))"
MDS_color_2222-454.laz,"POLYGON ((320099.96 7367718.15, 320641.88 7367718.15, 320641.88 7368305.53, 320099.96 7368305.53, 320099.96 7367718.15))"
MDS_color_2222-461.laz,"POLYGON ((320623.59 7368301.54, 321165.52 7368301.54, 321165.52 7368888.91, 320623.59 7368888.91, 320623.59 7368301.54))"
MDS_color_2222-462.laz,"POLYGON ((321154.4 7368308.11, 321696.3 7368308.11, 321696.3 7368895.46, 321154.4 7368895.46, 321154.4 7368308.11))"
MDS_color_2222-463.laz,"POLYGON ((320630.74 7367724.74, 321172.65 7367724.74, 321172.65 7368312.1, 320630.74 7368312.1, 320630.74 7367724.74))"
MDS_color_2222-464.laz,"POLYGON ((321161.53 7367731.31, 321703.41 7367731.31, 321703.41 7368318.65, 321161.53 7368318.65, 321161.53 7367731.31))"
MDS_color_2224-114.laz,"POLYGON ((316305.63 7366511.09, 316410.38 7366511.09, 316410.38 7366775.78, 316305.63 7366775.78, 316305.63 7366511.09))"
MDS_color_2224-121.laz,"POLYGON ((316729.69 7367094.66, 316933.81 7367094.66, 316933.81 7367500.51, 316729.69 7367500.51, 316729.69 7367094.66))"
MDS_color_2224-122.laz,"POLYGON ((316922.52 7367101.38, 317464.56 7367101.38, 317464.56 7367688.89, 316922.52 7367688.89, 316922.52 7367101.38))"
MDS_color_2224-123.laz,"POLYGON ((316399.07 7366517.84, 316941.11 7366517.84, 316941.11 7367105.37, 316399.07 7367105.37, 316399.07 7366517.84))"
MDS_color_2224-124.laz,"POLYGON ((316929.82 7366524.57, 317471.84 7366524.57, 317471.84 7367112.08, 316929.82 7367112.08, 316929.82 7366524.57))"
MDS_color_2224-131.laz,"POLYGON ((317453.29 7367108.09, 317995.31 7367108.09, 317995.31 7367695.58, 317453.29 7367695.58, 317453.29 7367108.09))"
MDS_color_2224-132.laz,"POLYGON ((317984.06 7367114.78, 318526.06 7367114.78, 318526.06 7367702.25, 317984.06 7367702.25, 317984.06 7367114.78))"
MDS_color_2224-133.laz,"POLYGON ((317460.57 7366531.28, 318002.57 7366531.28, 318002.57 7367118.77, 317460.57 7367118.77, 317460.57 7366531.28))"
MDS_color_2224-134.laz,"POLYGON ((317991.32 7366537.97, 318533.29 7366537.97, 318533.29 7367125.44, 317991.32 7367125.44, 317991.32 7366537.97))"
MDS_color_2224-142.laz,"POLYGON ((316021.26 7365934.28, 316417.71 7365934.28, 316417.71 7366521.83, 316021.26 7366521.83, 316021.26 7365934.28))"
MDS_color_2224-144.laz,"POLYGON ((315925.96 7365357.47, 316425.03 7365357.47, 316425.03 7365945.02, 315925.96 7365945.02, 315925.96 7365357.47))"
MDS_color_2224-151.laz,"POLYGON ((316406.39 7365941.03, 316948.41 7365941.03, 316948.41 7366528.56, 316406.39 7366528.56, 316406.39 7365941.03))"
MDS_color_2224-152.laz,"POLYGON ((316937.12 7365947.76, 317479.12 7365947.76, 317479.12 7366535.27, 316937.12 7366535.27, 316937.12 7365947.76))"
MDS_color_2224-153.laz,"POLYGON ((316413.72 7365364.21, 316955.72 7365364.21, 316955.72 7365951.75, 316413.72 7365951.75, 316413.72 7365364.21))"
MDS_color_2224-154.laz,"POLYGON ((316944.42 7365370.94, 317486.41 7365370.94, 317486.41 7365958.46, 316944.42 7365958.46, 316944.42 7365370.94))"
MDS_color_2224-161.laz,"POLYGON ((317467.85 7365954.47, 318009.83 7365954.47, 318009.83 7366541.96, 317467.85 7366541.96, 317467.85 7365954.47))"
MDS_color_2224-162.laz,"POLYGON ((317998.58 7365961.16, 318540.53 7365961.16, 318540.53 7366548.63, 317998.58 7366548.63, 317998.58 7365961.16))"
MDS_color_2224-163.laz,"POLYGON ((317475.13 7365377.66, 318017.09 7365377.66, 318017.09 7365965.15, 317475.13 7365965.15, 317475.13 7365377.66))"
MDS_color_2224-164.laz,"POLYGON ((318005.84 7365384.35, 318547.78 7365384.35, 318547.78 7365971.82, 318005.84 7365971.82, 318005.84 7365384.35))"
MDS_color_2224-211.laz,"POLYGON ((318514.83 7367121.45, 319056.8 7367121.45, 319056.8 7367708.9, 318514.83 7367708.9, 318514.83 7367121.45))"
MDS_color_2224-212.laz,"POLYGON ((319045.6 7367128.1, 319587.55 7367128.1, 319587.55 7367715.53, 319045.6 7367715.53, 319045.6 7367128.1))"
MDS_color_2224-213.laz,"POLYGON ((318522.07 7366544.64, 319064.02 7366544.64, 319064.02 7367132.09, 318522.07 7367132.09, 318522.07 7366544.64))"
MDS_color_2224-214.laz,"POLYGON ((319052.81 7366551.29, 319594.75 7366551.29, 319594.75 7367138.72, 319052.81 7367138.72, 319052.81 7366551.29))"
MDS_color_2224-221.laz,"POLYGON ((319576.36 7367134.73, 320118.29 7367134.73, 320118.29 7367722.14, 319576.36 7367722.14, 319576.36 7367134.73))"
MDS_color_2224-222.laz,"POLYGON ((320107.13 7367141.34, 320649.04 7367141.34, 320649.04 7367728.73, 320107.13 7367728.73, 320107.13 7367141.34))"
MDS_color_2224-223.laz,"POLYGON ((319583.56 7366557.93, 320125.47 7366557.93, 320125.47 7367145.33, 319583.56 7367145.33, 319583.56 7366557.93))"
MDS_color_2224-224.laz,"POLYGON ((320114.3 7366564.54, 320656.19 7366564.54, 320656.19 7367151.92, 320114.3 7367151.92, 320114.3 7366564.54))"
MDS_color_2224-231.laz,"POLYGON ((320637.89 7367147.93, 321179.78 7367147.93, 321179.78 7367735.3, 320637.89 7367735.3, 320637.89 7367147.93))"
MDS_color_2224-232.laz,"POLYGON ((321168.66 7367154.51, 321710.52 7367154.51, 321710.52 7367741.85, 321168.66 7367741.85, 321168.66 7367154.51))"
MDS_color_2224-233.laz,"POLYGON ((320645.05 7366571.13, 321186.91 7366571.13, 321186.91 7367158.5, 320645.05 7367158.5, 320645.05 7366571.13))"
MDS_color_2224-234.laz,"POLYGON ((321175.79 7366577.7, 321717.63 7366577.7, 321717.63 7367165.05, 321175.79 7367165.05, 321175.79 7366577.7))"
MDS_color_2224-241.laz,"POLYGON ((318529.3 7365967.83, 319071.24 7365967.83, 319071.24 7366555.28, 318529.3 7366555.28, 318529.3 7365967.83))"
MDS_color_2224-242.laz,"POLYGON ((319060.03 7365974.48, 319601.94 7365974.48, 319601.94 7366561.92, 319060.03 7366561.92, 319060.03 7365974.48))"
MDS_color_2224-243.laz,"POLYGON ((318536.54 7365391.02, 319078.46 7365391.02, 319078.46 7365978.47, 318536.54 7365978.47, 318536.54 7365391.02))"
MDS_color_2224-244.laz,"POLYGON ((319067.25 7365397.68, 319609.14 7365397.68, 319609.14 7365985.11, 319067.25 7365985.11, 319067.25 7365397.68))"
MDS_color_2224-251.laz,"POLYGON ((319590.76 7365981.12, 320132.65 7365981.12, 320132.65 7366568.53, 319590.76 7366568.53, 319590.76 7365981.12))"
MDS_color_2224-252.laz,"POLYGON ((320121.48 7365987.73, 320663.35 7365987.73, 320663.35 7366575.12, 320121.48 7366575.12, 320121.48 7365987.73))"
MDS_color_2224-253.laz,"POLYGON ((319597.95 7365404.31, 320139.82 7365404.31, 320139.82 7365991.72, 319597.95 7365991.72, 319597.95 7365404.31))"
MDS_color_2224-254.laz,"POLYGON ((320128.66 7365410.92, 320670.5 7365410.92, 320670.5 7365998.32, 320128.66 7365998.32, 320128.66 7365410.92))"
MDS_color_2224-261.laz,"POLYGON ((320652.2 7365994.33, 321194.05 7365994.33, 321194.05 7366581.69, 320652.2 7366581.69, 320652.2 7365994.33))"
MDS_color_2224-263.laz,"POLYGON ((320659.36 7365417.52, 321201.18 7365417.52, 321201.18 7366004.89, 320659.36 7366004.89, 320659.36 7365417.52))"
MDS_color_2224-264.laz,"POLYGON ((321190.06 7365424.09, 321731.86 7365424.09, 321731.86 7366011.44, 321190.06 7366011.44, 321190.06 7365424.09))"
MDS_color_2224-312.laz,"POLYGON ((316366.08 7365349.9, 316432.36 7365349.9, 316432.36 7365368.2, 316366.08 7365368.2, 316366.08 7365349.9))"
MDS_color_2224-321.laz,"POLYGON ((316421.04 7365285.6, 316963.03 7365285.6, 316963.03 7365374.93, 316421.04 7365374.93, 316421.04 7365285.6))"
MDS_color_2224-322.laz,"POLYGON ((316951.73 7365270.47, 317493.69 7365270.47, 317493.69 7365381.65, 316951.73 7365381.65, 316951.73 7365270.47))"
MDS_color_2224-331.laz,"POLYGON ((317482.42 7365107.08, 318024.36 7365107.08, 318024.36 7365388.34, 317482.42 7365388.34, 317482.42 7365107.08))"
MDS_color_2224-332.laz,"POLYGON ((318013.1 7364922.8, 318555.02 7364922.8, 318555.02 7365395.01, 318013.1 7365395.01, 318013.1 7364922.8))"
MDS_color_2224-411.laz,"POLYGON ((318543.79 7364814.21, 319085.68 7364814.21, 319085.68 7365401.67, 318543.79 7365401.67, 318543.79 7364814.21))"
MDS_color_2224-412.laz,"POLYGON ((319074.47 7364820.87, 319616.34 7364820.87, 319616.34 7365408.3, 319074.47 7365408.3, 319074.47 7364820.87))"
MDS_color_2224-413.laz,"POLYGON ((318716.68 7364592.9, 319092.91 7364592.9, 319092.91 7364824.86, 318716.68 7364824.86, 318716.68 7364592.9))"
MDS_color_2224-414.laz,"POLYGON ((319081.69 7364244.06, 319623.54 7364244.06, 319623.54 7364831.49, 319081.69 7364831.49, 319081.69 7364244.06))"
MDS_color_2224-421.laz,"POLYGON ((319605.15 7364827.5, 320147 7364827.5, 320147 7365414.91, 319605.15 7365414.91, 319605.15 7364827.5))"
MDS_color_2224-422.laz,"POLYGON ((320135.83 7364834.12, 320677.66 7364834.12, 320677.66 7365421.51, 320135.83 7365421.51, 320135.83 7364834.12))"
MDS_color_2224-423.laz,"POLYGON ((319612.35 7364250.69, 320154.18 7364250.69, 320154.18 7364838.11, 319612.35 7364838.11, 319612.35 7364250.69))"
MDS_color_2224-424.laz,"POLYGON ((320143.01 7364257.31, 320684.82 7364257.31, 320684.82 7364844.7, 320143.01 7364844.7, 320143.01 7364257.31))"
MDS_color_2224-431.laz,"POLYGON ((320666.51 7364840.71, 321208.32 7364840.71, 321208.32 7365428.09, 320666.51 7365428.09, 320666.51 7364840.71))"
MDS_color_2224-432.laz,"POLYGON ((321197.19 7364847.29, 321738.98 7364847.29, 321738.98 7365434.64, 321197.19 7365434.64, 321197.19 7364847.29))"
MDS_color_2224-433.laz,"POLYGON ((320673.67 7364263.91, 321215.46 7364263.91, 321215.46 7364851.28, 320673.67 7364851.28, 320673.67 7364263.91))"
MDS_color_2224-434.laz,"POLYGON ((321204.33 7364270.49, 321746.1 7364270.49, 321746.1 7364857.84, 321204.33 7364857.84, 321204.33 7364270.49))"
MDS_color_2224-442.laz,"POLYGON ((319586.44 7364230.97, 319630.75 7364230.97, 319630.75 7364254.68, 319586.44 7364254.68, 319586.44 7364230.97))"
MDS_color_2224-451.laz,"POLYGON ((319619.55 7363704.38, 320161.37 7363704.38, 320161.37 7364261.3, 319619.55 7364261.3, 319619.55 7363704.38))"
MDS_color_2224-452.laz,"POLYGON ((320150.19 7363680.5, 320691.98 7363680.5, 320691.98 7364267.9, 320150.19 7364267.9, 320150.19 7363680.5))"
MDS_color_2224-453.laz,"POLYGON ((319927.3 7363098.72, 320168.55 7363098.72, 320168.55 7363507.87, 319927.3 7363507.87, 319927.3 7363098.72))"
MDS_color_2224-454.laz,"POLYGON ((320157.38 7363103.69, 320699.15 7363103.69, 320699.15 7363691.09, 320157.38 7363691.09, 320157.38 7363103.69))"
MDS_color_2224-461.laz,"POLYGON ((320680.83 7363687.1, 321222.6 7363687.1, 321222.6 7364274.48, 320680.83 7364274.48, 320680.83 7363687.1))"
MDS_color_2224-462.laz,"POLYGON ((321211.47 7363693.68, 321753.21 7363693.68, 321753.21 7364281.03, 321211.47 7364281.03, 321211.47 7363693.68))"
MDS_color_2224-463.laz,"POLYGON ((320687.99 7363110.29, 321229.74 7363110.29, 321229.74 7363697.67, 320687.99 7363697.67, 320687.99 7363110.29))"
MDS_color_2224-464.laz,"POLYGON ((321218.61 7363116.87, 321760.33 7363116.87, 321760.33 7363704.23, 321218.61 7363704.23, 321218.61 7363116.87))"
MDS_color_2226-213.laz,"POLYGON ((318580.02 7361930.16, 319121.81 7361930.16, 319121.81 7362341.22, 318580.02 7362341.22, 318580.02 7361930.16))"
MDS_color_2226-214.laz,"POLYGON ((319110.59 7361936.82, 319652.37 7361936.82, 319652.37 7362332.57, 319110.59 7362332.57, 319110.59 7361936.82))"
MDS_color_2226-221.laz,"POLYGON ((319921.45 7362718.21, 320175.74 7362718.21, 320175.74 7363107.68, 319921.45 7363107.68, 319921.45 7362718.21))"
MDS_color_2226-222.laz,"POLYGON ((320164.56 7362526.89, 320706.31 7362526.89, 320706.31 7363114.28, 320164.56 7363114.28, 320164.56 7362526.89))"
MDS_color_2226-223.laz,"POLYGON ((319641.17 7361943.46, 320182.92 7361943.46, 320182.92 7362435.17, 319641.17 7362435.17, 319641.17 7361943.46))"
MDS_color_2226-224.laz,"POLYGON ((320171.75 7361950.08, 320713.48 7361950.08, 320713.48 7362537.48, 320171.75 7362537.48, 320171.75 7361950.08))"
MDS_color_2226-231.laz,"POLYGON ((320695.16 7362533.49, 321236.88 7362533.49, 321236.88 7363120.86, 320695.16 7363120.86, 320695.16 7362533.49))"
MDS_color_2226-232.laz,"POLYGON ((321225.75 7362540.07, 321767.46 7362540.07, 321767.46 7363127.42, 321225.75 7363127.42, 321225.75 7362540.07))"
MDS_color_2226-233.laz,"POLYGON ((320702.32 7361956.68, 321244.03 7361956.68, 321244.03 7362544.06, 320702.32 7362544.06, 320702.32 7361956.68))"
MDS_color_2226-234.laz,"POLYGON ((321232.89 7361963.26, 321774.58 7361963.26, 321774.58 7362550.62, 321232.89 7362550.62, 321232.89 7361963.26))"
MDS_color_2226-241.laz,"POLYGON ((318587.27 7361353.34, 319129.04 7361353.34, 319129.04 7361940.81, 318587.27 7361940.81, 318587.27 7361353.34))"
MDS_color_2226-242.laz,"POLYGON ((319117.82 7361360, 319659.58 7361360, 319659.58 7361947.45, 319117.82 7361947.45, 319117.82 7361360))"
MDS_color_2226-243.laz,"POLYGON ((318594.52 7360776.53, 319136.28 7360776.53, 319136.28 7361363.99, 318594.52 7361363.99, 318594.52 7360776.53))"
MDS_color_2226-244.laz,"POLYGON ((319125.05 7360783.19, 319666.79 7360783.19, 319666.79 7361370.64, 319125.05 7361370.64, 319125.05 7360783.19))"
MDS_color_2226-251.laz,"POLYGON ((319648.38 7361366.65, 320190.11 7361366.65, 320190.11 7361954.07, 319648.38 7361954.07, 319648.38 7361366.65))"
MDS_color_2226-252.laz,"POLYGON ((320178.93 7361373.27, 320720.64 7361373.27, 320720.64 7361960.67, 320178.93 7361960.67, 320178.93 7361373.27))"
MDS_color_2226-253.laz,"POLYGON ((319655.59 7360789.84, 320197.3 7360789.84, 320197.3 7361377.26, 319655.59 7361377.26, 319655.59 7360789.84))"
MDS_color_2226-254.laz,"POLYGON ((320186.12 7360796.46, 320727.81 7360796.46, 320727.81 7361383.86, 320186.12 7361383.86, 320186.12 7360796.46))"
MDS_color_2226-261.laz,"POLYGON ((320709.49 7361379.87, 321251.17 7361379.87, 321251.17 7361967.25, 320709.49 7361967.25, 320709.49 7361379.87))"
MDS_color_2226-262.laz,"POLYGON ((321240.04 7361386.45, 321781.7 7361386.45, 321781.7 7361973.81, 321240.04 7361973.81, 321240.04 7361386.45))"
MDS_color_2226-263.laz,"POLYGON ((320716.65 7360803.06, 321258.32 7360803.06, 321258.32 7361390.44, 320716.65 7361390.44, 320716.65 7360803.06))"
MDS_color_2226-264.laz,"POLYGON ((321247.18 7360809.65, 321788.83 7360809.65, 321788.83 7361397.01, 321247.18 7361397.01, 321247.18 7360809.65))"
MDS_color_2226-411.laz,"POLYGON ((318657.12 7360199.72, 319143.51 7360199.72, 319143.51 7360787.18, 318657.12 7360787.18, 318657.12 7360199.72))"
